model_name,n_samples,n_positive,n_negative,threshold,accuracy,balanced_accuracy,precision,recall,sensitivity,f1,true_negative,false_positive,false_negative,true_positive,specificity,false_alarm_rate,detection_rate,gmean,auroc,pr_auc,threshold_method,optimal_threshold,train_epochs,min_recall,max_fpr,test_subject
fold_0a73ef1b,87,10,77,0.6978481411933899,0.9310344827586207,0.961038961038961,0.625,1.0,1.0,0.7692307692307693,71,6,0,10,0.922077922077922,0.07792207792207792,1.0,0.9602488854864254,0.9909090909090909,0.932651515151515,constrained_gmean,0.6978481411933899,84,0.85,0.2,0a73ef1b-da67-43ff-b61a-f98c151be799
fold_3e775b57,87,10,77,0.8444250822067261,0.8735632183908046,0.537012987012987,0.3333333333333333,0.1,0.1,0.15384615384615385,75,2,9,1,0.974025974025974,0.025974025974025976,0.1,0.31209389196617965,0.7402597402597402,0.30517612079044715,constrained_gmean,0.8444250822067261,100,0.85,0.2,3e775b57-fe47-4346-bd23-bb210471ad55
fold_3f27501c,65,13,52,0.7719166278839111,0.8615384615384616,0.6826923076923077,0.8333333333333334,0.38461538461538464,0.38461538461538464,0.5263157894736842,51,1,8,5,0.9807692307692307,0.019230769230769232,0.38461538461538464,0.6141815162565889,0.7633136094674556,0.5871468483335416,constrained_gmean,0.7719166278839111,85,0.85,0.2,3f27501c-233d-4a28-875b-f0d46fa49a92
fold_3f62db18,86,10,76,0.7468282580375671,0.5116279069767442,0.7236842105263158,0.19230769230769232,1.0,1.0,0.3225806451612903,34,42,0,10,0.4473684210526316,0.5526315789473685,1.0,0.6688560540599386,0.8355263157894737,0.294833184057322,constrained_gmean,0.7468282580375671,87,0.85,0.2,3f62db18-84c7-41a6-81ad-7b2132255267
fold_464cc459,72,10,62,0.7158575654029846,0.9166666666666666,0.7419354838709677,0.8333333333333334,0.5,0.5,0.625,61,1,5,5,0.9838709677419355,0.016129032258064516,0.5,0.7013811259728677,0.8,0.6268199893044614,constrained_gmean,0.7158575654029846,75,0.85,0.2,464cc459-d71f-479f-8c12-2b93022df94f
fold_46b09d4a,87,10,77,0.5196518898010254,0.8045977011494253,0.759090909090909,0.3333333333333333,0.7,0.7,0.45161290322580644,63,14,3,7,0.8181818181818182,0.18181818181818182,0.7,0.7567874686642695,0.8857142857142857,0.45027180744092504,constrained_gmean,0.5196518898010254,78,0.85,0.2,46b09d4a-63b9-4ba0-a33b-075ee018fce9
fold_623f620e,87,10,77,0.5787147283554077,0.8850574712643678,0.7175324675324675,0.5,0.5,0.5,0.5,72,5,5,5,0.935064935064935,0.06493506493506493,0.5,0.6837634587578277,0.9428571428571428,0.5912856506238859,constrained_gmean,0.5787147283554077,61,0.85,0.2,623f620e-ba02-4979-8153-162f66ec494e
fold_6df1a4f9,80,10,70,0.7017224431037903,0.775,0.6142857142857143,0.25,0.4,0.4,0.3076923076923077,58,12,6,4,0.8285714285714286,0.17142857142857143,0.4,0.5756983337031396,0.7285714285714286,0.21466136185871498,constrained_gmean,0.7017224431037903,70,0.85,0.2,6df1a4f9-d7c5-44d2-bbf8-be12af2e59b9
fold_7bb4dafd,75,10,65,0.719863772392273,0.84,0.6538461538461539,0.4,0.4,0.4,0.4,59,6,6,4,0.9076923076923077,0.09230769230769231,0.4,0.6025586470020351,0.7753846153846153,0.520481401955236,constrained_gmean,0.719863772392273,74,0.85,0.2,7bb4dafd-5a92-4aef-91e1-d634b40bc353
fold_840e79d3,87,10,77,0.7074512839317322,0.7126436781609196,0.6201298701298701,0.2,0.5,0.5,0.2857142857142857,57,20,5,5,0.7402597402597403,0.2597402597402597,0.5,0.6083829962530759,0.8181818181818181,0.5153837035415982,constrained_gmean,0.7074512839317322,61,0.85,0.2,840e79d3-bb53-4f48-b898-7fb622dd551e
fold_87bf2ae1,82,10,72,0.5682163238525391,0.7682926829268293,0.825,0.3333333333333333,0.9,0.9,0.4864864864864865,54,18,1,9,0.75,0.25,0.9,0.8215838362577492,0.8458333333333332,0.3125720234330291,constrained_gmean,0.5682163238525391,87,0.85,0.2,87bf2ae1-0139-4d6e-b958-875980601bd4
fold_89ba6f89,81,10,71,0.751161515712738,0.8641975308641975,0.8795774647887324,0.47368421052631576,0.9,0.9,0.6206896551724138,61,10,1,9,0.8591549295774648,0.14084507042253522,0.9,0.8793403417447184,0.9281690140845069,0.7501082251082251,constrained_gmean,0.751161515712738,89,0.85,0.2,89ba6f89-e2c4-4516-9c90-5a01f44cc17c
fold_937503f7,73,10,63,0.5123902559280396,0.863013698630137,0.5841269841269842,0.5,0.2,0.2,0.2857142857142857,61,2,8,2,0.9682539682539683,0.031746031746031744,0.2,0.4400577162723018,0.8507936507936508,0.4197277119016249,constrained_gmean,0.5123902559280396,100,0.85,0.2,937503f7-259d-43ff-a6fa-a4df1ea9de95
fold_a360c459,87,10,77,0.4637503921985626,0.7931034482758621,0.8396103896103897,0.34615384615384615,0.9,0.9,0.5,60,17,1,9,0.7792207792207793,0.22077922077922077,0.9,0.8374357893586238,0.9025974025974026,0.5851529304029304,constrained_gmean,0.4637503921985626,100,0.85,0.2,a360c459-4ed8-44c5-a6ac-666d0a9d9d77
fold_a5e823ad,74,10,64,0.5897464156150818,0.8648648648648649,0.5,0.0,0.0,0.0,0.0,64,0,10,0,1.0,0.0,0.0,0.0,0.5203125,0.1403156276695075,constrained_gmean,0.5897464156150818,77,0.85,0.2,a5e823ad-b229-49de-bcba-1b77b6e455d0
fold_b61f4c2a,74,10,64,0.7599044442176819,0.8513513513513513,0.7453125,0.46153846153846156,0.6,0.6,0.5217391304347826,57,7,4,6,0.890625,0.109375,0.6,0.7310095758606723,0.875,0.6762725779967159,constrained_gmean,0.7599044442176819,93,0.85,0.2,b61f4c2a-38b3-4c6f-b0d7-046cdbb430e8
fold_c5a60768,87,10,77,0.1750117540359497,0.6091954022988506,0.6487012987012987,0.18421052631578946,0.7,0.7,0.2916666666666667,46,31,3,7,0.5974025974025974,0.4025974025974026,0.7,0.6466697906828632,0.7077922077922078,0.2806848094545287,constrained_gmean,0.1750117540359497,91,0.85,0.2,c5a60768-7702-4b1e-8905-893ab64a7624
fold_d9af7d23,86,10,76,0.703831136226654,0.8023255813953488,0.6710526315789473,0.29411764705882354,0.5,0.5,0.37037037037037035,64,12,5,5,0.8421052631578947,0.15789473684210525,0.5,0.6488856845230502,0.8723684210526317,0.42065456282847585,constrained_gmean,0.703831136226654,91,0.85,0.2,d9af7d23-895b-4afd-b9ce-91f93be0a9ce
fold_ddca342b,86,10,76,0.774648129940033,0.5697674418604651,0.5828947368421052,0.15384615384615385,0.6,0.6,0.24489795918367346,43,33,4,6,0.5657894736842105,0.4342105263157895,0.6,0.5826437026266793,0.6671052631578948,0.286012290290072,constrained_gmean,0.774648129940033,66,0.85,0.2,ddca342b-d3ad-46c9-b8a1-fbec6c1a88d2
fold_f64f9403,87,10,77,0.6326096057891846,0.8045977011494253,0.6285714285714286,0.26666666666666666,0.4,0.4,0.32,66,11,6,4,0.8571428571428571,0.14285714285714285,0.4,0.5855400437691199,0.8805194805194805,0.5296665683817386,constrained_gmean,0.6326096057891846,77,0.85,0.2,f64f9403-7c0e-4e68-9dd4-7974beb49354
fold_f9513e4b,87,10,77,0.4460984468460083,0.7241379310344828,0.6266233766233766,0.20833333333333334,0.5,0.5,0.29411764705882354,58,19,5,5,0.7532467532467533,0.24675324675324675,0.5,0.6136964857512031,0.7116883116883117,0.4466513201025091,constrained_gmean,0.4460984468460083,74,0.85,0.2,f9513e4b-07b1-4e16-8bea-d3fea020f9c4
